tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
3095.00;end_private_0;1000.00;12.44;2636.00;596.00;start_private_0;5.10;0.00;tripinfo_car198;459.00;car198;0;4995.30;0.97;0.00;86.30;car;;0;0.00
3097.00;end_private_0;1000.00;16.08;2639.00;599.00;start_private_0;5.10;0.00;tripinfo_car199;458.00;car199;0;4995.30;1.23;0.00;164.57;car;;0;0.00
4417.00;end_private_0;1000.00;14.63;4080.00;0.00;start_private_0;5.10;0.00;tripinfo_car0;337.00;car0;0;4995.30;1.12;0.00;16.80;car;;0;0.00
4466.00;end_public_0;1000.00;13.10;4080.00;0.00;start_public_0;20.10;0.00;tripinfo_bus0;386.00;bus0;0;4980.30;0.98;0.00;21.41;bus;;0;0.00
4469.00;end_public_0;1000.00;13.91;4085.00;5.00;start_public_0;20.10;0.00;tripinfo_bus1;384.00;bus1;0;4980.30;1.06;0.00;45.96;bus;;0;0.00
4497.00;end_private_0;1000.00;12.35;4083.00;3.00;start_private_0;5.10;0.00;tripinfo_car1;414.00;car1;0;4995.30;0.92;0.00;23.40;car;;0;0.00
4499.00;end_private_0;1000.00;13.04;4086.00;6.00;start_private_0;5.10;0.00;tripinfo_car2;413.00;car2;0;4995.30;1.01;0.00;54.97;car;;0;0.00
4501.00;end_private_0;1000.00;15.99;4089.00;9.00;start_private_0;5.10;0.00;tripinfo_car3;412.00;car3;0;4995.30;1.16;0.00;100.74;car;;0;0.00
4502.00;end_private_0;1000.00;16.16;4092.00;12.00;start_private_0;5.10;0.00;tripinfo_car4;410.00;car4;0;4995.30;1.21;0.00;112.72;car;;0;0.00
4504.00;end_private_0;1000.00;13.50;4095.00;15.00;start_private_0;5.10;0.00;tripinfo_car5;409.00;car5;0;4995.30;1.06;0.00;68.04;car;;0;0.00
4506.00;end_private_0;1000.00;13.30;4098.00;18.00;start_private_0;5.10;0.00;tripinfo_car6;408.00;car6;0;4995.30;0.99;0.00;42.58;car;;0;0.00
4508.00;end_private_0;1000.00;13.70;4101.00;21.00;start_private_0;5.10;0.00;tripinfo_car7;407.00;car7;0;4995.30;1.00;0.00;45.96;car;;0;0.00
4510.00;end_private_0;1000.00;14.52;4104.00;24.00;start_private_0;5.10;0.00;tripinfo_car8;406.00;car8;0;4995.30;1.06;0.00;65.02;car;;0;0.00
4523.00;end_public_0;1000.00;12.22;4090.00;10.00;start_public_0;20.10;0.00;tripinfo_bus2;433.00;bus2;0;4980.30;0.88;0.00;26.10;bus;;0;0.00
4526.00;end_public_0;1000.00;16.21;4095.00;15.00;start_public_0;20.10;0.00;tripinfo_bus3;431.00;bus3;0;4980.30;1.19;0.00;128.19;bus;;0;0.00
4529.00;end_public_0;1000.00;14.35;4100.00;20.00;start_public_0;20.10;0.00;tripinfo_bus4;429.00;bus4;0;4980.30;1.05;0.00;86.36;bus;;0;0.00
4532.00;end_public_0;1000.00;12.98;4105.00;25.00;start_public_0;20.10;0.00;tripinfo_bus5;427.00;bus5;0;4980.30;1.00;0.00;67.57;bus;;0;0.00
4535.00;end_public_0;1000.00;14.40;4109.00;29.00;start_public_0;20.10;0.00;tripinfo_bus6;426.00;bus6;0;4980.30;1.06;0.00;86.21;bus;;0;0.00
4537.00;end_public_0;1000.00;14.82;4114.00;34.00;start_public_0;20.10;0.00;tripinfo_bus7;423.00;bus7;0;4980.30;1.07;0.00;88.81;bus;;0;0.00
4541.00;end_public_0;1000.00;12.49;4119.00;39.00;start_public_0;20.10;0.00;tripinfo_bus8;422.00;bus8;0;4980.30;0.94;0.00;40.58;bus;;0;0.00
4544.00;end_public_0;1000.00;13.34;4124.00;44.00;start_public_0;20.10;0.00;tripinfo_bus9;420.00;bus9;0;4980.30;1.00;0.00;62.66;bus;;0;0.00
4545.00;end_private_0;1000.00;11.58;4107.00;27.00;start_private_0;5.10;0.00;tripinfo_car9;438.00;car9;0;4995.30;0.87;0.00;25.51;car;;0;0.00
4547.00;end_private_0;1000.00;13.40;4110.00;30.00;start_private_0;5.10;0.00;tripinfo_car10;437.00;car10;0;4995.30;1.04;0.00;90.68;car;;0;0.00
4547.00;end_public_0;1000.00;14.65;4129.00;49.00;start_public_0;20.10;0.00;tripinfo_bus10;418.00;bus10;0;4980.30;1.07;0.00;83.53;bus;;0;0.00
4549.00;end_private_0;1000.00;12.54;4113.00;33.00;start_private_0;5.10;0.00;tripinfo_car11;436.00;car11;0;4995.30;0.94;0.00;52.97;car;;0;0.00
4549.00;end_public_0;1000.00;15.80;4134.00;54.00;start_public_0;20.10;0.00;tripinfo_bus11;415.00;bus11;0;4980.30;1.14;0.00;100.68;bus;;0;0.00
4550.00;end_private_0;1000.00;14.02;4116.00;36.00;start_private_0;5.10;0.00;tripinfo_car12;434.00;car12;0;4995.30;1.04;0.00;87.19;car;;0;0.00
4552.00;end_private_0;1000.00;13.68;4119.00;39.00;start_private_0;5.10;0.00;tripinfo_car13;433.00;car13;0;4995.30;1.02;0.00;81.67;car;;0;0.00
4554.00;end_private_0;1000.00;14.23;4122.00;42.00;start_private_0;5.10;0.00;tripinfo_car14;432.00;car14;0;4995.30;1.04;0.00;85.55;car;;0;0.00
4556.00;end_private_0;1000.00;12.58;4125.00;45.00;start_private_0;5.10;0.00;tripinfo_car15;431.00;car15;0;4995.30;0.96;0.00;53.79;car;;0;0.00
4557.00;end_private_0;1000.00;13.51;4128.00;48.00;start_private_0;5.10;0.00;tripinfo_car16;429.00;car16;0;4995.30;0.98;0.00;63.50;car;;0;0.00
4559.00;end_private_0;1000.00;13.73;4131.00;51.00;start_private_0;5.10;0.00;tripinfo_car17;428.00;car17;0;4995.30;0.99;0.00;64.83;car;;0;0.00
4569.00;end_private_0;1000.00;12.00;4134.00;54.00;start_private_0;5.10;0.00;tripinfo_car18;435.00;car18;0;4995.30;0.88;0.00;26.05;car;;0;0.00
4570.00;end_public_0;1000.00;11.02;4139.00;59.00;start_public_0;20.10;0.00;tripinfo_bus12;431.00;bus12;0;4980.30;0.88;0.00;25.40;bus;;0;0.00
4571.00;end_private_0;1000.00;12.18;4137.00;57.00;start_private_0;5.10;0.00;tripinfo_car19;434.00;car19;0;4995.30;0.94;0.00;50.60;car;;0;0.00
4572.00;end_private_0;1000.00;13.92;4140.00;60.00;start_private_0;5.10;0.00;tripinfo_car20;432.00;car20;0;4995.30;1.03;0.00;82.08;car;;0;0.00
4573.00;end_public_0;1000.00;12.97;4144.00;64.00;start_public_0;20.10;0.00;tripinfo_bus13;429.00;bus13;0;4980.30;1.02;0.00;76.42;bus;;0;0.00
4574.00;end_private_0;1000.00;13.23;4143.00;63.00;start_private_0;5.10;0.00;tripinfo_car21;431.00;car21;0;4995.30;1.04;0.00;85.93;car;;0;0.00
4575.00;end_private_0;1000.00;14.94;4146.00;66.00;start_private_0;5.10;0.00;tripinfo_car22;429.00;car22;0;4995.30;1.08;0.00;96.02;car;;0;0.00
